SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1344,Bitcoin,BTC,2017-01-01 23:59:59,1003.0800170898438,958.698974609375,963.6580200195312,998.3250122070312,147775008.0,16050407460.5
1709,Bitcoin,BTC,2018-01-01 23:59:59,14112.2001953125,13154.7001953125,14112.2001953125,13657.2001953125,10291200000.0,229119155396.0
2074,Bitcoin,BTC,2019-01-01 23:59:59,3850.91376479,3707.23130258,3746.71338747,3843.51996727,4324200990.19464,67098634180.6128
2439,Bitcoin,BTC,2020-01-01 23:59:59,7254.33061134,7174.94415256,7194.89197053,7200.17439274,18565664996.7884,130580829149.587
2805,Bitcoin,BTC,2021-01-01 23:59:59,29600.6269503,28803.58501355,28994.00891641,29374.15188907,40730301358.64019,546001594837.51166
